DateTime,AdviceCode,Speed,Length,StopTime,RoadTemperature,OCCFactor,Gap,Headway
2020-01-31 13:16:39,2,41.84,4.57,0,32,1,19,220.98
2020-01-31 13:16:46,2,48.28,4.26,0,32,1,7,93.87
2020-01-31 13:17:48,2,32.18,4.57,0,32,1,62,554.43
2020-01-31 13:19:01,2,35.40,14.63,0,32,3,73,717.80
2020-01-31 13:19:30,2,40.23,4.57,0,32,1,29,324.00
2020-01-31 13:19:59,2,48.28,4.26,0,32,1,29,388.92
2020-01-31 13:20:25,2,35.40,1.21,0,32,0,26,255.72
2020-01-31 13:20:34,2,53.10,4.26,0,32,1,9,132.89
2020-01-31 13:20:50,2,46.67,3.96,0,32,1,16,207.56
2020-01-31 13:21:11,2,38.62,3.35,0,32,1,21,225.24
2020-01-31 13:21:41,2,45.06,5.18,0,32,1,30,375.51
2020-01-31 13:21:53,2,37.01,4.87,0,32,1,12,123.44
2020-01-31 13:22:17,2,54.71,3.65,0,32,1,24,364.84
2020-01-31 13:24:20,2,41.84,4.87,0,32,1,123,1429.51
2020-01-31 13:24:26,2,45.06,3.04,0,32,1,6,74.98
2020-01-31 13:25:46,2,59.54,4.87,0,32,1,80,1323.13
2020-01-31 13:25:57,2,45.06,4.87,0,32,1,11,137.76
2020-01-31 13:25:58,2,48.28,3.96,0,32,1,1,13.41
2020-01-31 13:26:31,2,41.84,3.35,0,32,1,33,383.43
2020-01-31 13:26:40,2,53.10,5.18,0,32,1,9,132.89
2020-01-31 13:26:46,2,54.71,4.26,0,32,1,6,91.13
2020-01-31 13:27:03,2,27.35,4.87,0,32,1,17,129.23
2020-01-31 13:27:32,2,40.23,5.18,0,32,1,29,324.00
2020-01-31 13:27:38,2,43.45,5.79,0,32,1,6,72.54
2020-01-31 13:27:59,2,46.67,4.87,0,32,1,21,272.18
2020-01-31 13:28:23,2,33.79,4.57,0,32,1,24,225.24
2020-01-31 13:28:24,2,37.01,3.96,0,32,1,1,10.36
2020-01-31 13:28:26,2,40.23,4.26,0,32,1,2,22.25
2020-01-31 13:28:28,2,40.23,5.18,0,32,1,2,22.25
2020-01-31 13:28:57,2,46.67,6.09,0,32,1,29,375.81
2020-01-31 13:28:59,2,49.88,4.87,0,32,1,2,27.73
2020-01-31 13:29:47,2,43.45,5.48,0,32,1,48,579.42
2020-01-31 13:29:50,2,46.67,5.18,0,32,1,3,39.01
2020-01-31 13:30:53,2,62.76,3.96,0,32,0,63,1098.49
2020-01-31 13:31:12,2,45.06,4.87,0,32,1,19,237.74
2020-01-31 13:31:42,2,48.28,5.18,0,32,1,30,402.33
2020-01-31 13:32:13,2,32.18,3.96,0,32,1,31,277.06
2020-01-31 13:32:39,2,37.01,11.27,0,32,2,26,267.30
2020-01-31 13:32:41,2,43.45,6.09,0,32,1,2,24.07
2020-01-31 13:33:15,2,27.35,4.26,0,32,1,34,258.47
2020-01-31 13:34:38,2,43.45,4.57,0,32,1,83,1001.87
2020-01-31 13:36:04,2,37.01,5.18,0,32,1,86,884.22
2020-01-31 13:36:09,2,40.23,4.57,0,32,1,5,55.77
2020-01-31 13:36:14,2,32.18,3.65,0,32,1,5,44.80
2020-01-31 13:36:53,2,37.01,12.80,0,32,3,39,401.11
2020-01-31 13:36:57,2,40.23,9.14,0,32,2,4,44.80
2020-01-31 13:36:59,2,37.01,5.18,0,32,1,2,20.42
2020-01-31 13:37:12,2,33.79,5.48,0,32,1,13,121.92
2020-01-31 13:37:14,2,33.79,7.31,0,32,2,2,18.89
2020-01-31 13:37:36,2,46.67,7.01,0,32,1,22,285.29
2020-01-31 13:37:51,2,30.57,3.65,0,32,1,15,127.40
2020-01-31 13:38:52,2,57.93,7.01,0,32,1,61,981.76
2020-01-31 13:39:26,2,49.88,4.87,0,32,1,34,471.22
2020-01-31 13:39:43,2,40.23,4.87,0,32,1,17,189.89
2020-01-31 13:41:09,2,54.71,5.18,0,32,1,86,1307.28
2020-01-31 13:42:11,2,32.18,5.79,0,32,1,62,554.43
2020-01-31 13:42:13,2,32.18,5.18,0,32,1,2,17.98
2020-01-31 13:42:28,2,43.45,4.57,0,32,1,15,181.05
2020-01-31 13:42:55,2,41.84,4.57,0,32,1,27,313.94
2020-01-31 13:43:21,2,59.54,5.79,0,32,1,26,430.07
2020-01-31 13:44:54,2,38.62,3.96,0,32,1,93,997.91
2020-01-31 13:45:10,2,57.93,6.09,0,32,1,16,257.55
2020-01-31 13:45:48,2,61.15,4.57,0,32,1,38,645.56
2020-01-31 13:47:11,2,33.79,4.26,0,32,1,83,779.06
2020-01-31 13:48:21,2,56.32,5.18,0,32,1,70,1095.14
2020-01-31 13:48:37,2,80.46,4.57,0,32,0,16,357.53
2020-01-31 13:48:59,2,51.49,4.87,0,32,1,22,314.85
2020-01-31 13:49:11,128,20.92,0,0,32,0,12,69.79
2020-01-31 13:50:06,2,56.32,4.57,0,32,1,55,860.45
2020-01-31 13:51:09,2,35.40,4.26,0,32,1,63,619.65
2020-01-31 13:52:09,2,56.32,4.57,0,32,1,60,938.78
2020-01-31 13:52:15,2,49.88,3.96,0,32,1,6,83.21
2020-01-31 13:52:17,2,54.71,6.40,0,32,1,2,30.48
2020-01-31 13:52:49,2,40.23,4.87,0,32,1,32,357.53
2020-01-31 13:53:05,2,37.01,1.21,0,32,0,16,164.59
2020-01-31 13:53:07,2,32.18,3.96,0,32,1,2,17.98
2020-01-31 13:53:46,2,41.84,4.26,0,32,1,39,453.23
2020-01-31 13:53:49,2,41.84,3.65,0,32,1,3,34.74
2020-01-31 13:54:22,2,48.28,7.01,0,32,1,33,442.56
2020-01-31 13:54:24,2,37.01,2.74,0,32,1,2,20.42
2020-01-31 13:55:25,2,51.49,5.18,0,32,1,61,872.64
2020-01-31 13:55:36,2,56.32,3.96,0,32,1,11,172.21
2020-01-31 13:56:21,2,56.32,6.40,0,32,1,45,704.08
2020-01-31 13:56:24,2,46.67,4.26,0,32,1,3,39.01
2020-01-31 13:57:09,2,38.62,5.18,0,32,1,45,482.80
2020-01-31 13:57:14,2,27.35,3.35,0,32,1,5,38.1
2020-01-31 13:57:33,2,46.67,4.87,0,32,1,19,246.27
2020-01-31 13:57:50,2,41.84,2.74,0,32,1,17,197.51
2020-01-31 13:57:52,2,45.06,4.57,0,32,1,2,24.99
2020-01-31 13:58:34,2,54.71,5.18,0,32,1,42,638.25
2020-01-31 13:59:08,2,37.01,12.80,0,32,3,34,349.60
2020-01-31 13:59:11,2,41.84,4.26,0,32,1,3,34.74
2020-01-31 13:59:24,2,41.84,5.18,0,32,1,13,151.18
2020-01-31 13:59:27,2,40.23,3.96,0,32,1,3,33.52
2020-01-31 13:59:35,2,24.14,1.82,0,32,1,8,53.64
2020-01-31 13:59:41,2,30.57,3.65,0,32,1,6,50.90
2020-01-31 13:59:45,2,46.67,6.40,0,32,1,4,51.81
2020-01-31 14:00:22,128,223.69,21.33,0,32,1,37,2299.10
2020-01-31 14:00:56,2,46.67,5.18,0,32,1,34,440.74
2020-01-31 14:01:04,2,46.67,5.79,0,32,1,8,103.63
2020-01-31 14:01:58,2,38.62,6.40,0,32,1,54,579.42
2020-01-31 14:02:00,2,38.62,4.87,0,32,1,2,21.33
2020-01-31 14:02:03,2,41.84,4.26,0,32,1,3,34.74
2020-01-31 14:02:06,2,35.40,4.57,0,32,1,3,29.56
2020-01-31 14:02:21,4,35.40,3.04,0,32,1,15,147.52
2020-01-31 14:02:45,2,38.62,15.54,0,32,3,24,257.55
2020-01-31 14:02:48,2,40.23,4.87,0,32,1,3,33.52
2020-01-31 14:03:41,128,32.18,0,0,32,0,53,473.96
2020-01-31 14:04:23,2,40.23,4.26,0,32,1,42,469.39
2020-01-31 14:04:25,2,43.45,5.18,0,32,1,2,24.07
2020-01-31 14:04:30,2,40.23,4.26,0,32,1,5,55.77
2020-01-31 14:04:43,2,43.45,5.18,0,32,1,13,156.97
2020-01-31 14:04:45,2,40.23,4.87,0,32,1,2,22.25
2020-01-31 14:04:47,2,51.49,4.87,0,32,1,2,28.65
2020-01-31 14:05:40,2,54.71,3.96,0,32,1,53,805.58
2020-01-31 14:06:26,4,4.82,4.87,0,32,8,46,61.56
2020-01-31 14:06:31,2,51.49,4.57,0,32,1,5,71.62
2020-01-31 14:08:28,2,41.84,4.57,0,32,1,117,1360.01
2020-01-31 14:09:13,2,48.28,4.57,0,32,1,45,603.50
2020-01-31 14:09:24,2,49.88,3.35,0,32,1,11,152.4
2020-01-31 14:10:16,2,33.79,4.57,0,32,1,52,488.28
2020-01-31 14:10:30,2,49.88,4.87,0,32,1,14,194.15
2020-01-31 14:11:06,2,40.23,4.26,0,32,1,36,402.33
2020-01-31 14:11:12,2,40.23,4.87,0,32,1,6,67.05
2020-01-31 14:11:25,2,28.96,4.87,0,32,1,13,104.54
2020-01-31 14:11:53,2,41.84,3.96,0,32,1,28,325.52
2020-01-31 14:13:06,2,53.10,5.79,0,32,1,73,1076.85
2020-01-31 14:13:38,2,40.23,3.65,0,32,1,32,357.53
2020-01-31 14:13:50,2,40.23,4.57,0,32,1,12,134.11
2020-01-31 14:14:00,2,54.71,4.87,0,32,1,10,152.09
2020-01-31 14:14:16,2,45.06,5.18,0,32,1,16,200.25
2020-01-31 14:14:47,2,41.84,4.26,0,32,1,31,360.27
2020-01-31 14:14:48,2,40.23,4.57,0,32,1,1,11.27
2020-01-31 14:14:53,2,25.74,2.74,0,32,1,5,35.66
2020-01-31 14:14:56,2,35.40,4.57,0,32,1,3,29.56
2020-01-31 14:16:11,2,19.31,3.96,0,32,2,75,402.33
